agency_name,separation,Trump_Separations
AG23-OFFICE OF THE INSPECTOR GENERAL,Quit,5
AG30-FOOD AND NUTRITION SERVICE,Quit,18
AG32-RURAL BUSINESS-COOPERATIVE SERVICE,Quit,3
AG34-ANIMAL AND PLANT HEALTH INSPECTION SERVICE,Quit,64
"AG36-GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",Quit,10
AG37-FOOD SAFETY AND INSPECTION SERVICE,Quit,108
AG38-OFFICE OF THE CHIEF ECONOMIST,Quit,0
AG42-OFFICE OF BUDGET AND PROGRAM ANALYSIS,Quit,0
AG90-OFFICE OF THE CHIEF FINANCIAL OFFICER,Quit,11
AGAO-OFFICE OF ADVOCACY AND OUTREACH,Quit,0
AGCR-CIVIL RIGHTS,Quit,0
AGDA-DEPARTMENTAL ADMINISTRATION,Quit,1
AGES-OFFICE OF THE EXECUTIVE SECRETARIAT,Quit,0
AGFA-FARM SERVICE AGENCY,Quit,55
AGHL-HOMELAND SECURITY STAFF,Quit,0
AGIT-OFFICE OF THE CHIEF INFORMATION OFFICER,Quit,5
AGNA-NATIONAL APPEALS DIVISION,Quit,0
AH01-NATIONAL ENDOWMENT FOR THE ARTS,Quit,2
AH02-NATIONAL ENDOWMENT FOR THE HUMANITIES,Quit,2
AH03-INSTITUTE OF MUSEUM AND LIBRARY SERVICES,Quit,4
AM00-AGENCY FOR INTERNATIONAL DEVELOPMENT,Quit,27
AN00-AFRICAN DEVELOPMENT FOUNDATION,Quit,1
AP00-APPALACHIAN REGIONAL COMMISSION,Quit,0
AR2A-UNITED STATES ARMY CYBER COMMAND,Quit,9
AR3A-U.S. ARMY CENTRAL,Quit,3
AR5A-U.S. ARMY NORTH,Quit,2
ARA1-US ARMY AFRICA/SOUTHERN EUROPEAN TASK FORCE (USAFRAF/SETAF),Quit,11
ARAA-U. S. ARMY ACCESSION COMMAND,Quit,0
ARAE-U.S. ARMY ACQUISITION SUPPORT CENTER,Quit,28
ARAN-U.S. ARMY NATIONAL MILITARY CEMETERIES,Quit,4
ARAP-U. S. MILITARY ENTRANCE PROCESSING COMMAND,Quit,99
ARAS-U.S. ARMY INTELLIGENCE AND SECURITY COMMAND,Quit,39
ARAT-U.S. ARMY TEST AND EVALUATION COMMAND,Quit,46
ARBA-U.S. ARMY INSTALLATION MANAGEMENT COMMAND,Quit,356
ARCB-U.S. ARMY CRIMINAL INVESTIGATION COMMAND,Quit,12
ARCE-U.S. ARMY CORPS OF ENGINEERS,Quit,380
ARCS-IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY,Quit,5
ARE1-IMMEDIATE OFFICE OF THE COMMANDER-IN-CHIEF OF THE U.S. ARMY EUROPE AND SEVENTH ARMY,Quit,16
ARE2-21ST THEATER ARMY AREA COMMAND,Quit,6
ARE5-U.S. ARMY V CORPS,Quit,0
AREN-SEVENTH ARMY TRAINING COMMAND,Quit,3
ARFC-U.S. ARMY FORCES COMMAND,Quit,24
ARG6-U.S. ARMY NETWORK ENTERPRISE TECHNOLOGY COMMAND/9TH ARMY SIGNAL COMMAND,Quit,47
ARGB-OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU,Quit,10
ARHR-U.S. ARMY RESERVE COMMAND,Quit,235
ARJ1-U.S. ARMY ELEMENT SHAPE,Quit,2
ARJA-JOINT ACTIVITIES,Quit,24
ARMA-U.S. MILITARY ACADEMY,Quit,8
ARMC-U.S. ARMY MEDICAL COMMAND,Quit,1361
ARMW-U.S. ARMY MILITARY DISTRICT OF WASHINGTON,Quit,2
ARNG-ARMY NATIONAL GUARD UNITS (TITLE 32),Quit,645
"ARP1-U.S. ARMY, PACIFIC",Quit,19
ARP8-EIGHTH U.S. ARMY,Quit,0
ARSA-OFFICE OF THE SECRETARY OF THE ARMY,Quit,16
ARSB-FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY,Quit,40
ARSC-U. S. ARMY SPACE AND MISSILE DEFENSE COMMAND/U. S. ARMY FORCES STRATEGIC COMMAND,Quit,11
ARSE-HQDA FIELD OPERATING AGENCIES AND STAFF SUPPORT AGENCIES AND STAFF SUPPORT AGENCIES,Quit,56
ARSF-MISCELLANEOUS FIELD OPERATING AGENCIES,Quit,0
"ARSJ-JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY",Quit,5
ARSO-U.S. ARMY SOUTH,Quit,1
ARSP-U.S. SPECIAL OPERATIONS COMMAND (ARMY),Quit,12
ARTA-U.S. ARMY ACCESSIONS COMMAND,Quit,22
ARTC-U.S. ARMY TRAINING AND DOCTRINE COMMAND,Quit,91
ARTW-U.S. ARMY WAR COLLEGE,Quit,9
ARX1-414TH SUPPORT BRIGADE,Quit,0
"ARX2-HEADQUARTERS, AMC",Quit,6
"ARX4-TRAINING ACTIVITIES, AMC",Quit,0
ARX6-U.S. ARMY AVIATION AND MISSILE COMMAND,Quit,51
ARX7-U.S. ARMY TANK-AUTOMOTIVE AND ARMAMENT COMMAND (TACOM),Quit,54
ARX8-U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND,Quit,42
ARXB-U.S. ARMY CHEMICAL MATERIALS ACTIVITY,Quit,11
ARXC-U.S. ARMY SUSTAINMENT COMMAND,Quit,44
ARXD-U. S. ARMY CONTRACTING COMMAND,Quit,45
ARXK-MATERIEL ACQUISITION ACTIVITIES,Quit,1
ARXP-U.S. ARMY SECURITY ASSISTANCE COMMAND,Quit,2
ARXQ-U.S. ARMY JOINT MUNITIONS COMMAND,Quit,23
"ARXR-U.S. ARMY RESEARCH, DEVELOPMENT AND ENGINEERING COMMAND",Quit,67
ARXT-U.S. ARMY MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND,Quit,18
ARXX-MATERIEL READINESS ACTIVITIES,Quit,2
AU00-FEDERAL LABOR RELATIONS AUTHORITY,Quit,0
AW00-ARCTIC RESEARCH COMMISSION,Quit,0
BD00-MERIT SYSTEMS PROTECTION BOARD,Quit,3
BF00-DEFENSE NUCLEAR FACILITIES SAFETY BOARD,Quit,3
BG00-PENSION BENEFIT GUARANTY CORPORATION,Quit,10
BH00-COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,Quit,0
BK00-JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION,Quit,0
BO00-OFFICE OF MANAGEMENT AND BUDGET,Quit,43
BT00-ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,Quit,0
BW00-NUCLEAR WASTE TECHNICAL REVIEW BOARD,Quit,0
BZ00-CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,Quit,0
CC00-COMMISSION ON CIVIL RIGHTS,Quit,1
CE00-COUNCIL OF ECONOMIC ADVISERS,Quit,0
CF00-COMMISSION OF FINE ARTS,Quit,0
CM51-OFFICE OF THE SECRETARY,Quit,18
CM52-ECONOMIC DEVELOPMENT ADMINISTRATION,Quit,2
CM53-BUREAU OF ECONOMIC ANALYSIS,Quit,4
CM54-NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Quit,83
CM55-INTERNATIONAL TRADE ADMINISTRATION,Quit,21
CM56-PATENT AND TRADEMARK OFFICE,Quit,117
CM57-NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,Quit,21
CM59-MINORITY BUSINESS DEVELOPMENT AGENCY,Quit,4
CM61-NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,Quit,6
CM62-NATIONAL TECHNICAL INFORMATION SERVICE,Quit,0
CM63-BUREAU OF THE CENSUS,Quit,671
CM64-OFFICE OF THE INSPECTOR GENERAL,Quit,1
CM65-ECONOMICS AND STATISTICS ADMINISTRATION,Quit,2
CM67-BUREAU OF INDUSTRY AND SECURITY,Quit,1
CT00-COMMODITY FUTURES TRADING COMMISSION,Quit,3
CU00-NATIONAL CREDIT UNION ADMINISTRATION,Quit,12
DB00-PUBLIC INTEREST DECLASSIFICATION BOARD,Quit,0
DD01-OFFICE OF THE SECRETARY OF DEFENSE,Quit,73
DD02-ORGANIZATION OF THE JOINT CHIEFS OF STAFF,Quit,2
DD04-DEFENSE INFORMATION SYSTEMS AGENCY,Quit,51
DD06-DEFENSE SECURITY COOPERATION AGENCY,Quit,8
DD07-DEFENSE LOGISTICS AGENCY,Quit,201
DD08-U.S. COURT OF APPEALS FOR THE ARMED FORCES,Quit,0
DD10-DEFENSE CONTRACT AUDIT AGENCY,Quit,52
DD12-DEFENSE SECURITY SERVICE,Quit,20
DD13-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,Quit,2
DD15-UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES,Quit,1
DD16-DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,Quit,185
DD21-WASHINGTON HEADQUARTERS SERVICES,Quit,22
DD23-OFFICE OF ECONOMIC ADJUSTMENT,Quit,1
DD25-DEFENSE LEGAL SERVICES AGENCY,Quit,1
DD26-OFFICE OF THE INSPECTOR GENERAL,Quit,20
DD27-MISSILE DEFENSE AGENCY,Quit,22
DD29-DEFENSE TECHNOLOGY SECURITY ADMINISTRATION,Quit,1
DD34-DEFENSE COMMISSARY AGENCY,Quit,741
DD35-DEFENSE FINANCE AND ACCOUNTING SERVICE,Quit,125
DD48-DEFENSE HUMAN RESOURCES ACTIVITY,Quit,12
DD53-DEFENSE POW/MIA ACCOUNTING AGENCY,Quit,3
DD58-DEFENSE PRISONER OF WAR/MISSING PERSONNEL OFFICE,Quit,0
DD60-DEFENSE HEALTH AGENCY,Quit,90
DD61-DEFENSE THREAT REDUCTION AGENCY,Quit,14
DD63-DEFENSE CONTRACT MANAGEMENT AGENCY,Quit,92
DD65-PENTAGON FORCE PROTECTION AGENCY,Quit,8
DD68-DEPARTMENT OF DEFENSE TEST RESOURCE MANAGEMENT CENTER,Quit,0
DD69-NATIONAL DEFENSE UNIVERSITY,Quit,4
DD71-DEFENSE MICROELECTRONICS ACTIVITY,Quit,1
DD74-DEFENSE TECHNICAL INFORMATION CENTER,Quit,2
DD77-BUSINESS TRANSFORMATION AGENCY,Quit,0
DD80-DEFENSE MEDIA ACTIVITY,Quit,0
DD81-DEFENSE ACQUISITION UNIVERSITY,Quit,4
DD82-NATIONAL RECONNAISSANCE OFFICE,Quit,7
DF00-OFFICE OF THE FEDERAL COORDINATOR FOR ALASKA NATURAL GAS TRANSPORTATION PROJECTS,Quit,0
DG00-NORTHERN BORDER REGIONAL COMMISSION,Quit,0
"DJ01-OFFICES, BOARDS AND DIVISIONS",Quit,182
DJ02-FEDERAL BUREAU OF INVESTIGATION,Quit,197
DJ03-BUREAU OF PRISONS/FEDERAL PRISON SYSTEM,Quit,464
DJ06-DRUG ENFORCEMENT ADMINISTRATION,Quit,29
DJ07-OFFICE OF JUSTICE PROGRAMS,Quit,8
DJ08-U.S. MARSHALS SERVICE,Quit,21
DJ09-EXECUTIVE OFFICE FOR U.S. ATTORNEYS AND THE OFFICES OF THE U.S. ATTORNEYS,Quit,178
DJ10-OFFICE OF THE INSPECTOR GENERAL,Quit,4
DJ11-U.S. TRUSTEE PROGRAM,Quit,8
DJ12-EXECUTIVE OFFICE FOR IMMIGRATION REVIEW,Quit,11
DJ14-COMMUNITY RELATIONS SERVICE,Quit,1
"DJ15-BUREAU OF ALCOHOL, TOBACCO, FIREARMS, AND EXPLOSIVES",Quit,16
DLAA-OFFICE OF THE SECRETARY OF LABOR,Quit,4
DLAM-OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT,Quit,9
DLBL-BUREAU OF INTERNATIONAL LABOR AFFAIRS,Quit,1
DLCA-OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS,Quit,2
DLCF-OFFICE OF THE CHIEF FINANCIAL OFFICER,Quit,2
DLEH-OFFICE OF DISABILITY EMPLOYMENT POLICY,Quit,1
DLES-EMPLOYMENT STANDARDS ADMINISTRATION,Quit,0
DLET-EMPLOYMENT AND TRAINING ADMINISTRATION,Quit,8
DLIG-OFFICE OF THE INSPECTOR GENERAL,Quit,5
DLLS-BUREAU OF LABOR STATISTICS,Quit,45
DLMS-MINE SAFETY AND HEALTH ADMINISTRATION,Quit,20
DLOF-OFFICE OF FEDERAL CONTRACT COMPLIANCE PROGRAMS,Quit,9
DLOL-OFFICE OF LABOR-MANAGEMENT STANDARDS,Quit,2
DLOW-OFFICE OF WORKERS' COMPENSATION PROGRAMS,Quit,11
DLPA-OFFICE OF PUBLIC AFFAIRS,Quit,1
DLPE-OFFICE OF THE ASSISTANT SECRETARY FOR POLICY,Quit,1
DLPW-EMPLOYEE BENEFITS SECURITY ADMINISTRATION,Quit,19
DLSH-OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,Quit,15
DLSL-OFFICE OF THE SOLICITOR,Quit,8
DLVE-VETERANS EMPLOYMENT AND TRAINING SERVICES,Quit,1
DLWB-WOMEN'S BUREAU,Quit,2
DLWH-WAGE AND HOUR DIVISION,Quit,30
DN00-DEPARTMENT OF ENERGY,Quit,170
DNFE-FEDERAL ENERGY REGULATORY COMMISSION,Quit,23
DQ00-DENALI COMMISSION,Quit,0
EB00-EXPORT-IMPORT BANK OF THE UNITED STATES,Quit,8
EC00-OFFICE OF ADMINISTRATION,Quit,9
EDEA-IMMEDIATE OFFICE OF THE SECRETARY OF EDUCATION,Quit,6
EDEB-OFFICE OF THE DUTY SECRETARY OF EDUCATION,Quit,1
EDEC-OFFICE FOR CIVIL RIGHTS,Quit,21
"EDED-OFFICE OF PLANNING, EVALUATION AND POLICY DEVELOPMENT",Quit,6
EDEE-OFFICE OF THE UNDER SECRETARY,Quit,1
EDEF-OFFICE OF INSPECTOR GENERAL,Quit,0
EDEG-OFFICE OF THE GENERAL COUNSEL,Quit,5
EDEH-OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES,Quit,0
EDEI-OFFICE OF THE CHIEF INFORMATION OFFICER,Quit,0
EDEJ-OFFICE OF LEGISLATION AND CONGRESSIONAL AFFAIRS,Quit,0
EDEL-OFFICE OF THE CHIEF FINANCIAL OFFICER,Quit,0
EDEM-OFFICE OF MANAGEMENT,Quit,1
EDEN-FEDERAL STUDENT AID,Quit,10
EDEO-OFFICE OF COMMUNICATIONS AND OUTREACH,Quit,3
EDEP-OFFICE OF POSTSECONDARY EDUCATION,Quit,0
EDEQ-OFFICE OF SAFE AND DRUG-FREE SCHOOLS,Quit,0
EDER-INSTITUTE OF EDUCATION SCIENCES,Quit,2
EDES-OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,Quit,4
EDET-OFFICE OF ENGLISH LANGUAGE ACQUISITION,Quit,1
EDEU-OFFICE OF INNOVATION AND IMPROVEMENT,Quit,3
EDEV-OFFICE OF VOCATIONAL AND ADULT EDUCATION,Quit,2
EDEY-ADVISORY COUNCILS AND COMMITTEES,Quit,0
EDEZ-NATIONAL ASSESSMENT GOVERNING BOARD,Quit,0
EE00-EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,Quit,26
EO00-MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,Quit,1
EP00-ENVIRONMENTAL PROTECTION AGENCY,Quit,114
EQ00-COUNCIL ON ENVIRONMENTAL QUALITY/OFFICE OF ENVIRONMENTAL QUALITY,Quit,2
EW00-TRADE AND DEVELOPMENT AGENCY,Quit,4
FC00-FEDERAL COMMUNICATIONS COMMISSION,Quit,30
FD00-FEDERAL DEPOSIT INSURANCE CORPORATION,Quit,57
FI00-FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL,Quit,0
FJ00-CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,Quit,1
FK00-FARM CREDIT SYSTEM INSURANCE CORPORATION,Quit,0
FL00-FARM CREDIT ADMINISTRATION,Quit,10
FM00-FEDERAL MEDIATION AND CONCILIATION SERVICE,Quit,3
FQ01-OFFICE OF THE DIRECTOR,Quit,12
FQ02-PRETRIAL SERVICES AGENCY,Quit,1
FRFT-BUREAU OF CONSUMER FINANCIAL PROTECTION,Quit,42
FT00-FEDERAL TRADE COMMISSION,Quit,20
FW00-OFFICE OF SPECIAL COUNSEL,Quit,2
GB00-OVERSEAS PRIVATE INVESTMENT CORPORATION,Quit,4
GC00-GULF COAST ECOSYSTEM RESTORATION COUNCIL,Quit,1
GE00-BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,Quit,0
GG00-OFFICE OF GOVERNMENT ETHICS,Quit,0
GJ00-PRESIDIO TRUST,Quit,8
GM00-VALLES CALDERA TRUST,Quit,0
GO00-VIETNAM EDUCATION FOUNDATION,Quit,0
GQ00-ELECTION ASSISTANCE COMMISSION,Quit,0
GS01-IMMEDIATE OFFICE OF THE ADMINISTRATOR,Quit,2
GS02-OFFICE OF ADMINISTRATIVE SERVICES,Quit,0
GS03-PUBLIC BUILDINGS SERVICE,Quit,37
GS04-OFFICE OF CIVIL RIGHTS,Quit,0
GS10-OFFICE OF SMALL BUSINESS UTILIZATION,Quit,1
GS11-OFFICE OF THE CHIEF FINANCIAL OFFICER,Quit,0
GS12-OFFICE OF GENERAL COUNSEL,Quit,1
GS13-CIVILIAN BOARD OF CONTRACT APPEALS,Quit,1
GS14-OFFICE OF THE CHIEF HUMAN CAPITAL OFFICER,Quit,4
GS15-OFFICE OF INSPECTOR GENERAL,Quit,1
GS18-TECHNOLOGY TRANSFORMATION SERVICE,Quit,0
GS19-OFFICE OF CITIZEN SERVICES AND INNOVATIVE TECHNOLOGIES,Quit,0
GS20-OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS,Quit,0
GS22-OFFICES OF THE REGIONAL ADMINISTRATORS,Quit,7
GS26-OFFICE OF GOVERNMENTWIDE POLICY,Quit,3
GS28-OFFICE OF GSA IT,Quit,0
GS30-FEDERAL ACQUISITION SERVICE,Quit,23
GS31-OFFICE OF EMERGENCY RESPONSE AND RECOVERY,Quit,1
GS32-OFFICE OF COMMUNICATIONS AND MARKETING,Quit,1
GS33-OFFICE OF THE CUSTOMER EXPERIENCE,Quit,2
GW00-INTERNATIONAL BOUNDARY AND WATER COMMISSION:  UNITED STATES AND MEXICO,Quit,2
GX00-INTERNATIONAL BOUNDARY COMMISSION:  UNITED STATES AND CANADA,Quit,0
GY00-INTERNATIONAL JOINT COMMISSION:  UNITED STATES AND CANADA,Quit,0
HB**-UNSPECIFIED,Quit,0
HB00-COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,Quit,0
HD00-U.S. HOLOCAUST MEMORIAL MUSEUM,Quit,0
HE10-OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,Quit,104
HE11-PROGRAM SUPPORT CENTER,Quit,6
HE12-ADMINISTRATION FOR COMMUNITY LIVING,Quit,6
HE13-OFFICE OF INSPECTOR GENERAL,Quit,14
HE31-OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,Quit,0
HE32-SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,Quit,10
HE33-AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,Quit,5
HE34-HEALTH RESOURCES AND SERVICES ADMINISTRATION,Quit,21
HE35-AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY,Quit,0
HE36-FOOD AND DRUG ADMINISTRATION,Quit,148
HE37-INDIAN HEALTH SERVICE,Quit,570
HE38-NATIONAL INSTITUTES OF HEALTH,Quit,121
HE39-CENTERS FOR DISEASE CONTROL AND PREVENTION,Quit,106
HE70-CENTERS FOR MEDICARE & MEDICAID SERVICES,Quit,99
HE90-ADMINISTRATION FOR CHILDREN AND FAMILIES,Quit,22
HF**-UNSPECIFIED,Quit,0
HF00-FEDERAL HOUSING FINANCE AGENCY,Quit,0
HFHA-FEDERAL HOUSING FINANCE AGENCY,Quit,10
HFHI-OFFICE OF INSPECTOR GENERAL,Quit,1
HP00-ADVISORY COUNCIL ON HISTORIC PRESERVATION,Quit,0
HSAA-DHS HEADQUARTERS,Quit,63
HSAB-BUREAU OF CITIZENSHIP AND IMMIGRATION SERVICES,Quit,135
HSAC-U.S. COAST GUARD,Quit,79
HSAD-U.S. SECRET SERVICE,Quit,34
HSAE-OFFICE OF THE INSPECTOR GENERAL,Quit,4
HSBB-BUREAU OF IMMIGRATION AND CUSTOMS ENFORCEMENT,Quit,80
HSBC-TRANSPORTATION SECURITY ADMINISTRATION,Quit,2855
HSBD-BUREAU OF CUSTOMS AND BORDER PROTECTION,Quit,232
HSBE-FEDERAL LAW ENFORCEMENT TRAINING CENTERS,Quit,6
HSCA-NATIONAL PROTECTION AND PROGRAMS DIRECTORATE,Quit,53
HSCB-FEDERAL EMERGENCY MANAGEMENT AGENCY,Quit,42
HSDA-DOMESTIC NUCLEAR DETECTION OFFICE,Quit,1
HSFA-OFFICE OF THE UNDER SECRETARY FOR SCIENCE AND TECHNOLOGY,Quit,4
HT00-HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,Quit,1
HU**-UNSPECIFIED,Quit,0
HU01-OFFICE OF THE SENIOR COORDINATOR FOR NEW ENGLAND,Quit,3
HU02-OFFICE OF THE SENIOR COORDINATOR FOR NEW YORK/NEW JERSEY,Quit,4
HU03-OFFICE OF THE SENIOR COORDINATOR FOR MID-ATLANTIC,Quit,0
HU04-OFFICE OF THE SENIOR COORDINATOR FOR SOUTHEAST/CARIBBEAN,Quit,2
HU05-OFFICE OF THE SENIOR COORDINATOR FOR MIDWEST,Quit,2
HU06-OFFICE OF THE SENIOR COORDINATOR FOR SOUTHWEST,Quit,2
HU07-OFFICE OF THE SENIOR COORDINATOR FOR GREAT PLAINS,Quit,1
HU08-OFFICE OF THE SENIOR COORDINATOR FOR ROCKY MOUNTAINS,Quit,5
HU09-OFFICE OF THE SENIOR COORDINATOR FOR PACIFIC/HAWAII,Quit,4
HU10-OFFICE OF THE SENIOR COORDINATOR FOR NORTHWEST/ALASKA,Quit,2
HUAA-OFFICE OF THE SECRETARY OF HOUSING AND URBAN DEVELOPMENT,Quit,5
HUBB-OFFICE OF THE CHIEF HUMAN CAPITAL OFFICER,Quit,4
HUCC-OFFICE OF GENERAL COUNSEL,Quit,4
HUDD-ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT,Quit,8
HUEE-ASSISTANT SECRETARY FOR FAIR HOUSING AND EQUAL OPPORTUNITY,Quit,0
HUFF-OFFICE OF THE CHIEF FINANCIAL OFFICER,Quit,1
HUGG-OFFICE OF INSPECTOR GENERAL,Quit,1
HUII-OFFICE OF DEPARTMENTAL OPERATIONS AND COORDINATION,Quit,0
HUJJ-ASSISTANT SECRETARY FOR CONGRESSIONAL AND INTERGOVERNMENTAL RELATIONS,Quit,1
HUKA-CENTER FOR FAITH-BASED AND COMMUNITY INITIATIVES,Quit,0
HUKK-OFFICE OF FIELD POLICY AND MANAGEMENT,Quit,2
HULL-OFFICE OF HEALTHY HOMES AND LEAD HAZARD CONTROL,Quit,0
HUMM-ASSISTANT SECRETARY FOR HOUSING--FEDERAL HOUSING COMMISSIONER,Quit,9
HUNN-OFFICE OF THE CHIEF PROCUREMENT OFFICER,Quit,1
HUPP-ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,Quit,6
HUQQ-OFFICE OF THE CHIEF INFORMATION OFFICER,Quit,1
HURR-ASSISTANT SECRETARY FOR POLICY DEVELOPMENT AND RESEARCH,Quit,2
HUTT-GOVERNMENT NATIONAL MORTGAGE ASSOCIATION (GINNIE MAE),Quit,2
HUUU-OFFICE OF DEPARTMENTAL EQUAL EMPLOYMENT OPPORTUNITY,Quit,0
HUWW-ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,Quit,1
HUXX-OFFICE OF STRATEGIC PLANNING AND MANAGEMENT,Quit,0
HUYY-OFFICE OF SUSTAINABLE HOUSING AND COMMUNTIES,Quit,0
HW00-U.S. INTERAGENCY COUNCIL ON HOMELESSNESS,Quit,1
IB00-BROADCASTING BOARD OF GOVERNORS,Quit,6
IF00-INTER-AMERICAN FOUNDATION,Quit,1
IG00-COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY,Quit,0
IN01-OFFICE OF THE SECRETARY OF THE INTERIOR,Quit,52
IN05-BUREAU OF LAND MANAGEMENT,Quit,112
IN06-INDIAN AFFAIRS,Quit,77
IN07-BUREAU OF RECLAMATION,Quit,90
IN08-GEOLOGICAL SURVEY,Quit,80
IN10-NATIONAL PARK SERVICE,Quit,142
IN15-U.S. FISH AND WILDLIFE SERVICE,Quit,67
IN21-OFFICE OF THE SOLICITOR,Quit,7
"IN22-OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT",Quit,3
"IN23-BUREAU OF OCEAN ENERGY MANAGEMENT, REGULATION, AND ENFORCEMENT",Quit,0
IN24-OFFICE OF THE INSPECTOR GENERAL,Quit,0
IN26-BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,Quit,7
IN27-BUREAU OF OCEAN ENERGY MANAGEMENT,Quit,5
JL03-U.S. TAX COURT,Quit,1
KS00-CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,Quit,18
LF00-FEDERAL ELECTION COMMISSION,Quit,7
LP00-GOVERNMENT PRINTING OFFICE,Quit,6
LT00-U.S. TAX COURT,Quit,0
MA00-MARINE MAMMAL COMMISSION,Quit,0
MC00-FEDERAL MARITIME COMMISSION,Quit,1
MI00-MILLENNIUM CHALLENGE CORPORATION,Quit,3
NF00-NATIONAL SCIENCE FOUNDATION,Quit,15
NK00-NATIONAL COUNCIL ON DISABILITY,Quit,1
NL00-NATIONAL LABOR RELATIONS BOARD,Quit,22
NM00-NATIONAL MEDIATION BOARD,Quit,0
"NN10-HEADQUARTERS, NASA",Quit,7
NN21-AMES RESEARCH CENTER,Quit,2
NN22-JOHN GLENN RESEARCH CENTER AT LEWIS FIELD,Quit,10
NN23-LANGLEY RESEARCH CENTER,Quit,8
NN24-DRYDEN FLIGHT RESEARCH CENTER,Quit,12
NN51-GODDARD SPACE FLIGHT CENTER,Quit,19
NN62-GEORGE C. MARSHALL SPACE FLIGHT CENTER,Quit,9
NN64-JOHN C. STENNIS SPACE CENTER,Quit,2
NN72-LYNDON B. JOHNSON SPACE CENTER,Quit,25
NN76-JOHN F. KENNEDY SPACE CENTER,Quit,18
NP00-NATIONAL CAPITAL PLANNING COMMISSION,Quit,1
NQ00-NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,Quit,56
NS00-NATIONAL SECURITY COUNCIL,Quit,0
NU00-NUCLEAR REGULATORY COMMISSION,Quit,22
NV11-IMMEDIATE OFFICE OF THE CHIEF OF NAVAL OPERATIONS,Quit,18
"NV12-ASSISTANT FOR ADMINISTRATION, UNDER SECRETARY OF THE NAVY",Quit,60
NV14-OFFICE OF NAVAL RESEARCH,Quit,59
NV15-NAVAL INTELLIGENCE COMMAND,Quit,10
NV18-NAVAL MEDICAL COMMAND,Quit,297
NV19-NAVAL AIR SYSTEMS COMMAND,Quit,330
NV22-BUREAU OF NAVAL PERSONNEL,Quit,82
NV23-NAVAL SUPPLY SYSTEMS COMMAND,Quit,47
NV24-NAVAL SEA SYSTEMS COMMAND,Quit,323
NV25-NAVAL FACILITIES ENGINEERING COMMAND,Quit,122
NV27-U.S. MARINE CORPS,Quit,302
NV30-STRATEGIC SYSTEMS PROGRAMS OFFICE,Quit,15
NV33-MILITARY SEALIFT COMMAND,Quit,107
NV39-SPACE AND NAVAL WARFARE SYSTEMS COMMAND,Quit,97
NV41-NAVY SYSTEMS MANAGEMENT ACTIVITY,Quit,0
"NV52-COMMANDER, NAVY INSTALLATIONS",Quit,238
